smiles,solvent,peakwavs_max
Cc1ccc2c(c1)C(=O)c1nc3ncc(F)cc3nc1-2,CN(C)C=O,374
Cc1c(Br)cnc2nc3c(nc12)-c1ccc(Cl)cc1C3=O,CN(C)C=O,368
Cc1ccc2c(c1)C(=O)c1nc3ncc(Br)cc3nc1-2,CN(C)C=O,382
Cc1ccc2c(c1)C(=O)c1nc3nccc(C)c3nc1-2,CN(C)C=O,364
N#Cc1cc2ccccc2n2c1nc1ncccc12,CN(C)C=O,392
COc1ccc2c(c1)C(=O)c1nc3ncc(F)cc3nc1-2,CN(C)C=O,396
O=C1c2ccc(Br)cc2-c2nc3cc(Br)cnc3nc21,CN(C)C=O,372
Cc1nc2nc3c(nc2cc1Br)-c1ccc(Br)cc1C3=O,CN(C)C=O,374
O=C1c2cc(Cl)ccc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,406
O=C1c2cc(Br)ccc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,374
O=C1c2cc(Br)ccc2-c2nc3cc(Br)cnc3nc21,CN(C)C=O,370
Cc1c(Br)cnc2nc3c(nc12)-c1ccc(Br)cc1C3=O,CN(C)C=O,382
Cc1cc2c(ccc3nc4nc(Cl)ccc4n32)cc1[N+](=O)[O-],CN(C)C=O,372
Cc1c(Br)cnc2nc3c(nc12)-c1cc(Cl)ccc1C3=O,CN(C)C=O,376
Cc1ccnc2nc3c(nc12)-c1ccccc1C3=O,CN(C)C=O,410
Cc1ccnc2nc3c(nc12)-c1ccc(O)cc1C3=O,CN(C)C=O,370
Nc1cc2c(cc1Cl)-c1nc3cc(F)cnc3nc1C2=O,CN(C)C=O,350
Cc1cc2c(cc1N)C(=O)c1nc3ncc(F)cc3nc1-2,CN(C)C=O,368
COc1cc2c(cc1N)C(=O)c1nc3ncc(Cl)cc3nc1-2,CN(C)C=O,374
Cc1ccnc2nc3c(nc12)-c1ccc(N)cc1C3=O,CN(C)C=O,366
Cc1cc2c(ccc3nc4nc(Cl)ccc4n32)cc1N,CN(C)C=O,370
Cc1ccc2c(c1)C(=O)c1nc3ncc(O)cc3nc1-2,CN(C)C=O,360
COc1ccc2c(c1)-c1nc3c(C)ccnc3nc1C2=O,CN(C)C=O,374
O=C1c2cc(C=Cc3ccc(Br)o3)ccc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,378
COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncc(Br)cc4nc2-3)cc1,CN(C)C=O,412
Cc1ccnc2nc3c(nc12)-c1ccc(C=Cc2ccc(Br)o2)cc1C3=O,CN(C)C=O,382
NC(=O)c1cc2ccccc2n2c1nc1ncccc12,CN(C)C=O,402
CC(=O)Oc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncccc4nc2-3)cc1,CN(C)C=O,396
COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4nccc(C)c4nc2-3)cc1OC,CN(C)C=O,372
Cc1c(Br)cnc2nc3c(nc12)-c1ccc(C=Cc2ccc(Br)o2)cc1C3=O,CN(C)C=O,376
Cc1nc2nc3c(nc2cc1Br)-c1ccc(C=Cc2ccc(C=O)o2)cc1C3=O,CN(C)C=O,380
O=Cc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncccc4nc2-3)o1,CN(C)C=O,388
Cc1nc2nc3c(nc2cc1Br)-c1ccc(C=Cc2ccc(-c4ccc([N+](=O)[O-])cc4)o2)cc1C3=O,CN(C)C=O,372
O=C1c2cc(C=Cc3ccc(-c4ccc(Br)cc4)o3)ccc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,384
COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4nccc(C)c4nc2-3)cc1,CN(C)C=O,344
Cc1c(C=CN2CCCC2=O)cnc2nc3c(nc12)-c1ccccc1C3=O,CN(C)C=O,362
COc1ccc2c(c1)C(=O)c1nc3nccc(C)c3nc1-2,CN(C)C=O,364
Cc1c(Br)cnc2nc3c(nc12)-c1ccc(C=Cc2ccc(-c4ccc(Cl)cc4)o2)cc1C3=O,CN(C)C=O,378
COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncccc4nc2-3)cc1,CN(C)C=O,366
COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncc(F)cc4nc2-3)cc1OC,CN(C)C=O,406
CC(=O)Oc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4nc(C)c(Br)cc4nc2-3)cc1,CN(C)C=O,362
COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncc(Cl)cc4nc2-3)cc1OC,CN(C)C=O,380
COc1ccc(C=Cc2ccc3c(c2)C(=O)c2nc4ncc(Br)c(C)c4nc2-3)cc1,CN(C)C=O,382
O=C1c2ccc(Br)cc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,374
O=C1c2ccc(Br)cc2-c2nc3cccnc3nc21,CN(C)C=O,362
O=C1c2ccc(Cl)cc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,408
Cc1ccc2c(c1)C(=O)c1nc3ncc(Br)c(C)c3nc1-2,CN(C)C=O,376
COc1ccc2c(c1)C(=O)c1nc3ncccc3nc1-2,CN(C)C=O,392
O=C1c2cc(Cl)ccc2-c2nc3cc(Br)cnc3nc21,CN(C)C=O,370
Cc1c(O)cnc2nc3c(nc12)-c1cc(Cl)ccc1C3=O,CN(C)C=O,340
Cc1ccc2c(c1)-c1nc3c(C)c(O)cnc3nc1C2=O,CN(C)C=O,392
Cc1nc2nc3c(nc2cc1Br)-c1ccc(Cl)cc1C3=O,CN(C)C=O,374
COc1cc2c(cc1[N+](=O)[O-])C(=O)c1nc3ncc(Cl)cc3nc1-2,CN(C)C=O,402
Cc1ccnc2nc3c(nc12)-c1ccc([N+](=O)[O-])cc1C3=O,CN(C)C=O,342
COC(=O)c1nc(Nc2nc3ccccc3cc2C#N)ccc1Cl,CN(C)C=O,336
COc1ccc(Nc2cnc3nc4c(nc3c2C)-c2ccccc2C4=O)cc1,CN(C)C=O,372
Cc1nc2nc3c(nc2cc1Br)-c1cc(Br)ccc1C3=O,CN(C)C=O,366
Cc1ccc2c(c1)C(=O)c1nc3nc(C)c(O)cc3nc1-2,CN(C)C=O,332
COc1cc2c(cc1[N+](=O)[O-])C(=O)c1nc3nccc(C)c3nc1-2,CN(C)C=O,380
COc1ccc2c(c1)C(=O)c1nc3ncc(Nc4cc(OC)c(OC)cc4C(=O)O)c(C)c3nc1-2,CN(C)C=O,388
Cc1cc2c(cc1[N+](=O)[O-])C(=O)c1nc3ncc(Br)c(C)c3nc1-2,CN(C)C=O,396
Cc1ccc2c(c1)-c1nc3c(C)c(Br)cnc3nc1C2=O,CN(C)C=O,374
COc1ccc2c(c1)C(=O)c1nc3ncc(Nc4ccc(OC)c([N+](=O)[O-])c4)cc3nc1-2,CN(C)C=O,402
