"smiles","log10_rate"
"COc1ccc2c(c1)C(=O)c1nc3ncc(Br)cc3nc1-2",-4.00217691925428
"COc1ccc2c(c1)C(=O)c1nc3ncc(Cl)cc3nc1-2",-4.31336373073771
"Cc1ccc2c(c1)C(=O)c1nc3nc(C)c(Br)cc3nc1-2",-3.93358834255902
"Cc1nc2nc3c(nc2cc1Br)-c1cc(Cl)ccc1C3=O",-3.94039872023725
"Cc1nc2nc3c(nc2cc1Br)-c1ccccc1C3=O",-3.91538440500344
"COc1ccc2c(c1)-c1nc3cc(Br)c(C)nc3nc1C2=O",-3.99431767816628
"COc1ccc2c(c1)C(=O)c1nc3nc(C)c(Br)cc3nc1-2",-3.86954721895537
"Cc1c(Br)cnc2nc3c(nc12)-c1cc(Br)ccc1C3=O",-3.83546275693969
"O=C1c2ccc(Br)cc2-c2nc3cc(F)cnc3nc21",-3.80582990004453
"O=C1c2ccc(Cl)cc2-c2nc3cc(F)cnc3nc21",-3.82276660196582
"O=C1c2ccccc2-c2nc3cc(Br)cnc3nc21",-4.30980391997149
"Cc1c(Br)cnc2nc3c(nc12)-c1ccccc1C3=O",-3.74691168882633
"Cc1ccc2c(c1)-c1nc3cc(Br)cnc3nc1C2=O",-3.80235561417701
"Cc1ccc2c(c1)-c1nc3cc(F)cnc3nc1C2=O",-4.10402526764094
"Cc1ccc2c(c1)-c1nc3cc(C(F)(F)F)cnc3nc1C2=O",-4.08196966321512
"Cc1ccc2c(c1)C(=O)c1nc3ncc(Cl)cc3nc1-2",-3.97375281852223
"O=C1c2ccccc2-c2nc3cccnc3nc21",-3.80805181579177
"O=C1c2ccccc2-c2nc3cc(Cl)cnc3nc21",-3.69321696114738
