smiles,N2,Air,IPA,NaN3,Imidazole,Bzq
CC1=CC(=O)OC2=C1C=CC(=C2)N(C)C,-5.79317412396815,-4.769551078621726,-5.557520230935552,,-5.184422251675732,-4.910094888560602
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[NH+]C3=CC=CC=C3)C4=CC=CC=C24)C5=CC=C(C=C5)N(C)C.[Cl-],-4.747146969020107,-4.084072788302884,-4.0195421077238995,,-4.756961951313706,-4.220403508742176
C1=CC=C2C(=C1)C=CC=C2N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],,-5.195179321278838,-5.2403321553103694,,-5.282329496997738,-5.1778319206319825
C1=CC=C(C=C1)N=NC2=C(C=CC3=CC(=CC(=C32)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],-5.761953896871205,-5.252588192113577,-5.361510743045363,,-5.536107011014093,-5.2247537402597635
COC1=CC=CC=C1N=NC2=C(C=CC3=CC=CC=C32)O,-5.774690718274137,-5.170696227168975,-4.761953896871205,,-5.503070351926785,-5.034798298974088
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC(=CC(=C43)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+],-5.503070351926785,-5.313363730737707,-5.449771646944906,,-5.317854923626168,-5.455931955649724
CC1=NN(C(=O)C1N=NC2=CC=C(C=C2)S(=O)(=O)[O-])C3=CC(=C(C=C3Cl)S(=O)(=O)[O-])Cl.[Na+].[Na+],-5.709965388637482,-5.421360790031928,-5.376750709602099,,-6.149353764816934,-5.442492798094342
CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O)C,,-5.238824186844268,-5.1598939055432425,,-5.896196279044043,-5.22767829327708
C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,,-3.853871964321762,-4.27083521030723,-4.490797477668897,-4.088309841246139,-3.876148359032914
C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC4=C(C=C3)C(=CC=C4)S(=O)(=O)[O-])O.[Na+],-5.6439741428068775,-5.525783735923745,-5.58838029403677,-5.675717544702307,,
CC1=C(C(=O)N(N1)C2=CC=CC=C2)N=NC3=C(C=C(C4=CC=CC=C43)S(=O)(=O)[O-])O.[Na+],,-4.806875401645538,-4.995678626217358,-5.1771783546968955,,-4.869666231504994
CC(=O)NC1=C2C(=CC(=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=CC=CC=C3OC)S(=O)(=O)[O-].[Na+].[Na+],-6.82102305270683,-5.3788237182249645,-5.7594507517174005,,-5.3585258894959,-5.7594507517174005
C1=CC=C(C=C1)N=NC2=C(C3=C(C=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])O)O.[Na+].[Na+],-6.106238237942057,-5.446116973356125,-5.709965388637482,,-5.377785977033705,-5.709965388637482
COC1=C(C=CC(=C1)N=NC2=CC(=CC=C2)S(=O)(=O)[O-])NC(=O)NC3=CC=C(C=C3)N=NC4=CC(=C(C=C4)O)C(=O)[O-].[Na+].[Na+],-6.5718652059712115,-4.85078088734462,-4.920818753952375,,-5.543633966870957,-5.281498311132726
C1=CC=C(C=C1)C(=O)NC2=CC3=CC(=C(C(=C3C=C2)O)N=NC4=CC=C(C=C4)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],,-5.581698708680254,-5.590066876668706,,-6.462180904926726,-5.590066876668706
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)C)N=NC5=C(C6=C(C=C(C=C6C=C5S(=O)(=O)[O-])S(=O)(=O)[O-])N)O.[Na+].[Na+].[Na+].[Na+],-5.521433504406157,-4.360513510731414,-4.455931955649724,,-5.129011186239425,-4.787812395596042
C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])NN=C3C=CC(=O)C(=NNC4=CC=C(C5=CC=CC=C54)S(=O)(=O)[O-])C3=O.[Na+].[Na+],-5.039053804266168,-3.9956786262173574,-4.1095789811990855,-4.436518914605589,-4.455931955649724,-4.197226274708024
C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)[O-])OC5=C3C=CC(=C5)[O-].[Na+].[Na+],-4.214670164989233,-3.3242216583259148,-3.7594507517174005,-4.13430394008393,,-3.3757179041643317
C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)O)O,,-3.869666231504994,-3.9546770212133424,-4.511449283499555,-4.655607726314889,-4.178486471595227
CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)N=NC3=C(C=C(C=C3)C4=CC(=C(C=C4)N=NC5=C(C=CC6=CC(=CC(=C65)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)C.[Na+].[Na+],-5.684029654543083,-5.341035157335565,-5.261219441515631,-5.590066876668706,-5.484126156288321,-5.261219441515631
CCOC1=CC=C(C=C1)N=NC2=CC(=C(C=C2)/C=C/C3=C(C=C(C=C3)N=NC4=CC=C(C=C4)OCC)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+],-6.2335871528876,-6.135488918941608,-5.455931955649724,-5.073143291050307,,-5.442492798094342
C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,-5.064492734175287,-4.149966742310231,-4.185752404268079,,-4.449771646944906,-4.54515513999149
CC1=CC(=C(C=C1)O)N=NC2=C(C=C(C3=CC=CC=C32)S(=O)(=O)O)O,-5.3788237182249645,-4.8996294548824375,-4.958607314841775,-5.401209493236885,,-4.8996294548824375
C1=CC=C2C(=C1)C3(C4=C(C(=C(C=C4)O)O)OC5=C3C=CC(=C5O)O)OS2(=O)=O,-5.0467236633326955,-4.51427857351842,-4.2541448048262716,,-4.655607726314889,-5.0996328713435295
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],-5.255707016877324,-3.6903698325741012,-3.8013429130455774,-3.9546770212133424,-3.7594507517174005,
CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3,-4.958607314841775,-3.844663962534938,-3.889410289700751,,-4.101823516502323,-3.939302159646388
C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O.[Na+].[Na+],-6.863279432843593,-5.1438755557577,-5.422508200162775,,-5.1605219526258015,-5.379863945026242
C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)Cl)O)Cl)Cl)O)Cl,,-4.1249387366083,-5.014573525916998,-4.324221658325915,,-5.343901797987169
CCN(CC)C1=CC=C(C=C1)N=NC2=CC=CC=C2C(=O)O,-5.847711655616943,-4.920818753952375,-5.598599459218456,,-5.939302159646388,
C1=C2C=C(C=C(C2=C(C=C1S(=O)(=O)[O-])N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O)O)O)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],-5.605548319173784,-4.4723700991286615,-4.600326278518962,,-5.08196966321512,
C1=CC=C(C(=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)Cl)[O-])Cl)C(=O)[O-].[Na+].[Na+],-4.462180904926726,-4.0338582672609675,-4.279840696594043,-4.374687549038326,,-4.045757490560675
CC1=CC(=C(C=C1)C)N=NC2=C(C=C(C(=C2)C)N=NC3=C(C=CC4=CC=CC=C43)O)C,,-5.539102157243452,-5.590066876668706,,-6.860120913598763,-5.4089353929735005
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C(=C3N)O)S(=O)(=O)[O-])O.[Na+],-6.490797477668897,-5.180456064458132,-5.245651664288981,-5.135488918941608,,-5.245651664288981
C1=CC(=CC=C1N=NC2=C3C=CC(=CC3=CC(=C2O)S(=O)(=O)[O-])S(=O)(=O)[O-])[N+](=O)[O-].[Na+].[Na+],-6.1778319206319825,-5.007446482167865,-5.688246138944246,-5.609064892896621,,-5.752026733638194
CCNC1=C(C2=CC=CC=C2C=C1)N=NC3=CC=C(C=C3)N=NC4=CC=CC=C4,-5.581698708680254,-5.279840696594043,-5.254144804826271,,-5.454692883534176,-5.254144804826271
CC[N+](=C1C=CC2=NC3=C(C=C(C4=CC=CC=C43)N)OC2=C1)CC.[Cl-],-5.275724130399211,-3.896196279044043,-4.0034883278458215,-4.51427857351842,,-5.284832642151542
CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=C(C=C(C=C5)O)S(=O)(=O)[O-].[Na+].[Na+],-5.903089986991944,-4.2549252084179425,-4.329754146925876,,-4.31069114087638,-5.619788758288394
C1=CC=C(C=C1)NC2=C3C(=C(C=C2)N=NC4=C5C(=CC(=C4)S(=O)(=O)[O-])C=C(C=C5O)S(=O)(=O)[O-])C=CC=C3S(=O)(=O)[O-].[Na+].[Na+].[Na+],-5.474955192963154,-4.82102305270683,-4.756961951313706,,-5.295849483160201,-4.896196279044043
CC1(NC2=C3C(=C(C=C2)N=NC4=CC=C(C5=CC=CC=C54)N=NC6=CC=CC=C6)C=CC=C3N1)C,-5.716698771296451,-4.5934598195660445,-4.565431095965801,-5.739928612014925,,-4.939302159646388
CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N.Cl,-6.189095719331299,-4.062482107982653,-4.2564902352715706,,-4.068033885271827,-6.172630726946175
CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+],-5.449771646944906,-4.869666231504994,-5.072116589669293,,-5.2380721615794705,-5.91721462968355
C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],-6.017276612331455,-5.333482019445119,-5.308918507877031,-5.3872161432802645,,-5.414539270491499
C1=CC=C(C=C1)NC2=CC=C(C=C2)N=NC3=CC(=CC=C3)S(=O)(=O)[O-].[Na+],-4.453457336521869,-4.154901959985743,-4.703334809738469,,-5.314258261397736,-4.85078088734462
C1=CC=C(C=C1)C2=C3C=C(C(=O)C=C3OC4=CC(=C(C=C42)O)O)O,-4.2403321553103694,-3.7520267336381936,-3.7189666327522723,,-3.8728952016351923,-3.744727494896694
C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,-5.03810452633215,-4.366531544420414,-4.371611069949688,,-4.844663962534939,-4.351639989019068
CC1=CC2=C(C=C1N)[N+](=C3C=C(C(=CC3=N2)C)N)C4=CC=CC=C4.[Cl-],-4.673664139071248,-4.388276691992658,-4.651695136951839,,-4.2441251443275085,-4.669586226650809
CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC(=C(C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+],-5.718966632752273,-4.777283528852417,-4.7447274948966935,-4.876148359032914,,-6.040481623027001
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+].[Na+].[Na+],-4.504455662453552,-4.308034897232639,-4.33161408331,-4.557520230935552,,-4.276544327964814
CC1=C(C=C(C(=C1Br)O)C(C)C)C2(C3=CC=CC=C3S(=O)(=O)O2)C4=C(C(=C(C(=C4)C(C)C)O)Br)C,-5.806875401645538,-4.432973633840939,-4.442492798094342,,-5.681936665037238,-4.434152181326482
C1=CC(=CC=C1N=NC2=C(C=C(C=C2)O)O)S(=O)(=O)[O-].[Na+],-5.1732774798310075,-4.769551078621726,-4.903089986991944,-4.97469413473523,,-4.730487055782084
CC1=CC2=NC3=C(C=C(C=C3)N(C)C)N=C2C=C1N.Cl,-4.421360790031928,-3.5243288116755704,-3.413412695328245,-4.543633966870957,,-3.7619538968712045
CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.[Cl-],-4.554395796726403,-3.543633966870957,-3.962573502059376,-4.342944147142896,,-3.480172006224281
C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)O)S(=O)(=O)[O-].[Na+],-6.4089353929735005,-4.739928612014925,-4.8326826652518236,-4.962573502059376,,-5.185752404268079
C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],-5.673664139071248,-5.296708621881338,-5.2380721615794705,,-5.434152181326482,-5.411168274405792
C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],-6.137868620686963,-5.202732459169283,-5.1979107421182675,,-5.223298816011589,-6.2262135550188065
CC1=CC=CC=C1N=NC2=C(C=CC3=CC=CC=C32)O,-6.173925197299173,-5.202732459169283,-5.978810700930062,,-5.488116639021126,-5.696803942579511
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=C(C=CC4=CC=CC=C43)O,-5.341988603342887,-4.614393726401688,-5.958607314841775,,-4.777283528852417,-4.590066876668706
C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O,-5.735182176990463,-5.289882634888183,-5.402304814074488,,-5.507239610973163,-5.436518914605589
C1=CC=C2C(=C1)C(=O)OC23C4=C(C(=C(C=C4)O)Br)OC5=C3C=CC(=C5Br)O,-4.413412695328245,-3.6478174818886373,-3.8728952016351923,,-4.2541448048262716,-3.6478174818886373
C1=CC2=C(C=C1S(=O)(=O)[O-])C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)[O-])O.[Na+].[Na+],-4.962573502059376,-3.51427857351842,-3.614393726401688,-4.371611069949688,,-3.462180904926726
